Strain	Code
rsys_AM710507_Base-NCBI	rsys_AM710507_Base-NCBI
rsys_AM710506_Base-NCBI	rsys_AM710506_Base-NCBI
HQ912444	HQ912444
rsys_AM710470_Base-NCBI	rsys_AM710470_Base-NCBI
JX032951	JX032951
JX032952	JX032952
JX032953	JX032953
JX032954	JX032954
JX032957	JX032957
HQ912439	HQ912439
rsys_KC284710_Base-NCBI	rsys_KC284710_Base-NCBI
rsys_DQ514827_Base-NCBI	rsys_DQ514827_Base-NCBI
rsys_DQ514826_Base-NCBI	rsys_DQ514826_Base-NCBI
rsys_DQ514840_Base-NCBI	rsys_DQ514840_Base-NCBI
rsys_DQ514841_Base-NCBI	rsys_DQ514841_Base-NCBI
HQ912499	HQ912499
rsys_TCC107-Rbcl-1_@speed-ID	rsys_TCC107-Rbcl-1_@speed-ID
HQ912445	HQ912445
KM084985	KM084985
rsys_AM710465_Base-NCBI	rsys_AM710465_Base-NCBI
rsys_AM710467_Base-NCBI	rsys_AM710467_Base-NCBI
JX033018	JX033018
rsys_KM999085_Base-NCBI	rsys_KM999085_Base-NCBI
rsys_KM999086_Base-NCBI	rsys_KM999086_Base-NCBI
HQ912523	HQ912523
JX033017	JX033017
rsys_HQ912508_Base-NCBI	rsys_HQ912508_Base-NCBI
rsys_HQ912549_Base-NCBI	rsys_HQ912549_Base-NCBI
KJ011797	KJ011797
KJ011798	KJ011798
KJ011799	KJ011799
rsys_AM710483_Base-NCBI	rsys_AM710483_Base-NCBI
KJ011801	KJ011801
KJ011802	KJ011802
KJ011804	KJ011804
KJ011808	KJ011808
rsys_AM710484_Base-NCBI	rsys_AM710484_Base-NCBI
rsys_AM710493_Base-NCBI	rsys_AM710493_Base-NCBI
KJ011812	KJ011812
KJ011813	KJ011813
rsys_TCC713-Rbcl-1_@speed-ID	rsys_TCC713-Rbcl-1_@speed-ID
29	29
6	6
rsys_KJ011809_Base-NCBI	rsys_KJ011809_Base-NCBI
689	689
French8600	French8600
HQ912456	HQ912456
KM084976	KM084976
rsys_AM710480_Base-NCBI	rsys_AM710480_Base-NCBI
rsys_TCC449-Rbcl-1_@speed-ID	rsys_TCC449-Rbcl-1_@speed-ID
rsys_TCC501-Rbcl-1_@speed-ID	rsys_TCC501-Rbcl-1_@speed-ID
rsys_TCC511-Rbcl-1_@speed-ID	rsys_TCC511-Rbcl-1_@speed-ID
rsys_TCC720-Rbcl-1_@speed-ID	rsys_TCC720-Rbcl-1_@speed-ID
723	723
KM084929	KM084929
KM084977	KM084977
KM084991	KM084991
rsys_AM710477_Base-NCBI	rsys_AM710477_Base-NCBI
French2541	French2541
rsys_DQ514800_Base-NCBI	rsys_DQ514800_Base-NCBI
rsys_DQ514811_Base-NCBI	rsys_DQ514811_Base-NCBI
rsys_FJ002153_Base-NCBI	rsys_FJ002153_Base-NCBI
rsys_TCC364-Rbcl-1_@speed-ID	rsys_TCC364-Rbcl-1_@speed-ID
HQ912398	HQ912398
JX033021	JX033021
JX032969	JX032969
JX032978	JX032978
JX032980	JX032980
JX032997	JX032997
JX032998	JX032998
JX033001	JX033001
JX032950	JX032950
JX032962	JX032962
JX032986	JX032986
rsys_HQ912399_Base-NCBI	rsys_HQ912399_Base-NCBI
rsys_AM710443_Base-NCBI	rsys_AM710443_Base-NCBI
rsys_AM710455_Base-NCBI	rsys_AM710455_Base-NCBI
rsys_TCC459-Rbcl-1_@speed-ID	rsys_TCC459-Rbcl-1_@speed-ID
rsys_TCC572-Rbcl-1_onema	rsys_TCC572-Rbcl-1_onema
KM084947	KM084947
rsys_TCC637-Rbcl-1_@speed-ID	rsys_TCC637-Rbcl-1_@speed-ID
rsys_TCC661-Rbcl-1_@speed-ID	rsys_TCC661-Rbcl-1_@speed-ID
rsys_AM710444_Base-NCBI	rsys_AM710444_Base-NCBI
rsys_HQ912545_Base-NCBI	rsys_HQ912545_Base-NCBI
rsys_HQ656838_Base-NCBI	rsys_HQ656838_Base-NCBI
rsys_HQ912531_Base-NCBI	rsys_HQ912531_Base-NCBI
rsys_KJ577887_Base-NCBI	rsys_KJ577887_Base-NCBI
rsys_HQ685843_Base-NCBI	rsys_HQ685843_Base-NCBI
rsys_HQ912424_Base-NCBI	rsys_HQ912424_Base-NCBI
HQ912532	HQ912532
rsys_HQ685844_Base-NCBI	rsys_HQ685844_Base-NCBI
rsys_KJ577886_Base-NCBI	rsys_KJ577886_Base-NCBI
rsys_KJ577888_Base-NCBI	rsys_KJ577888_Base-NCBI
DQ514833	DQ514833
285	285
487	487
529	529
633	633
648	648
656	656
783	783
AB430665	AB430665
DQ514774	DQ514774
DQ514775	DQ514775
DQ514777	DQ514777
DQ514781	DQ514781
DQ514782	DQ514782
HQ912440	HQ912440
KF959651	KF959651
rsys_JQ217347_Base-NCBI	rsys_JQ217347_Base-NCBI
rsys_JQ217349_Base-NCBI	rsys_JQ217349_Base-NCBI
rsys_JQ610166_Base-NCBI	rsys_JQ610166_Base-NCBI
rsys_KM675696_Base-NCBI	rsys_KM675696_Base-NCBI
rsys_KM675697_Base-NCBI	rsys_KM675697_Base-NCBI
rsys_KM675698_Base-NCBI	rsys_KM675698_Base-NCBI
rsys_KM816803_Base-NCBI	rsys_KM816803_Base-NCBI
rsys_KM981425_Base-NCBI	rsys_KM981425_Base-NCBI
rsys_KM981426_Base-NCBI	rsys_KM981426_Base-NCBI
rsys_KM981427_Base-NCBI	rsys_KM981427_Base-NCBI
rsys_KM981428_Base-NCBI	rsys_KM981428_Base-NCBI
rsys_KM981429_Base-NCBI	rsys_KM981429_Base-NCBI
rsys_KM981430_Base-NCBI	rsys_KM981430_Base-NCBI
rsys_KM981431_Base-NCBI	rsys_KM981431_Base-NCBI
rsys_KM981432_Base-NCBI	rsys_KM981432_Base-NCBI
rsys_TCC356-Rbcl-1_@speed-ID	rsys_TCC356-Rbcl-1_@speed-ID
rsys_TCC357-Rbcl-1_@speed-ID	rsys_TCC357-Rbcl-1_@speed-ID
rsys_TCC358-Rbcl-1_@speed-ID	rsys_TCC358-Rbcl-1_@speed-ID
rsys_TCC359-Rbcl-1_@speed-ID	rsys_TCC359-Rbcl-1_@speed-ID
rsys_TCC360-Rbcl-1_@speed-ID	rsys_TCC360-Rbcl-1_@speed-ID
rsys_TCC582-Rbcl-1_onema	rsys_TCC582-Rbcl-1_onema
rsys_TCC640-Rbcl-1_@speed-ID	rsys_TCC640-Rbcl-1_@speed-ID
rsys_TCC644-Rbcl-1_@speed-ID	rsys_TCC644-Rbcl-1_@speed-ID
rsys_TCC658-Rbcl-1_@speed-ID	rsys_TCC658-Rbcl-1_@speed-ID
rsys_TCC660-Rbcl-1_@speed-ID	rsys_TCC660-Rbcl-1_@speed-ID
rsys_TCC690-Rbcl-1_@speed-ID	rsys_TCC690-Rbcl-1_@speed-ID
rsys_TCC710-Rbcl-1_@speed-ID	rsys_TCC710-Rbcl-1_@speed-ID
rsys_TCC755-Rbcl-1_onema	rsys_TCC755-Rbcl-1_onema
rsys_DQ514831_Base-NCBI	rsys_DQ514831_Base-NCBI
DQ514832	DQ514832
DQ514779	DQ514779
DQ514771	DQ514771
rsys_JQ217352_Base-NCBI	rsys_JQ217352_Base-NCBI
DQ514829	DQ514829
DQ514780	DQ514780
gDQ514780	gDQ514780
rsys_DQ514776_Base-NCBI	rsys_DQ514776_Base-NCBI
rsys_DQ514778_Base-NCBI	rsys_DQ514778_Base-NCBI
DQ514772	DQ514772
DQ514773	DQ514773
rsys_JQ217350_Base-NCBI	rsys_JQ217350_Base-NCBI
rsys_DQ514770_Base-NCBI	rsys_DQ514770_Base-NCBI
rsys_FJ002141_Base-NCBI	rsys_FJ002141_Base-NCBI
rsys_KM816804_Base-NCBI	rsys_KM816804_Base-NCBI
rsys_KM816805_Base-NCBI	rsys_KM816805_Base-NCBI
rsys_KM816806_Base-NCBI	rsys_KM816806_Base-NCBI
rsys_KJ577890_Base-NCBI	rsys_KJ577890_Base-NCBI
HQ912524	HQ912524
rsys_AB430673_Base-NCBI	rsys_AB430673_Base-NCBI
AM710464	AM710464
rsys_AM710471_Base-NCBI	rsys_AM710471_Base-NCBI
rsys_KJ011815_Base-NCBI	rsys_KJ011815_Base-NCBI
rsys_AM710476_Base-NCBI	rsys_AM710476_Base-NCBI
rsys_AM710485_Base-NCBI	rsys_AM710485_Base-NCBI
KJ011800	KJ011800
KJ011805	KJ011805
KJ011807	KJ011807
KJ011810	KJ011810
KJ011811	KJ011811
rsys_KM999095_Base-NCBI	rsys_KM999095_Base-NCBI
rsys_KM999096_Base-NCBI	rsys_KM999096_Base-NCBI
rsys_KJ011814_Base-NCBI	rsys_KJ011814_Base-NCBI
rsys_KJ011816_Base-NCBI	rsys_KJ011816_Base-NCBI
rsys_KJ011817_Base-NCBI	rsys_KJ011817_Base-NCBI
rsys_AM778962_Base-NCBI	rsys_AM778962_Base-NCBI
rsys_HQ828189_Base-NCBI	rsys_HQ828189_Base-NCBI
rsys_JQ217351_Base-NCBI	rsys_JQ217351_Base-NCBI
rsys_KJ011819_Base-NCBI	rsys_KJ011819_Base-NCBI
rsys_KJ011820_Base-NCBI	rsys_KJ011820_Base-NCBI
rsys_FJ002136_Base-NCBI	rsys_FJ002136_Base-NCBI
rsys_HQ912493_Base-NCBI	rsys_HQ912493_Base-NCBI
rsys_JX413561_Base-NCBI	rsys_JX413561_Base-NCBI
rsys_JN162770_Base-NCBI	rsys_JN162770_Base-NCBI
rsys_AB018006_Base-NCBI	rsys_AB018006_Base-NCBI
rsys_FJ002108_Base-NCBI	rsys_FJ002108_Base-NCBI
rsys_HQ912481_Base-NCBI	rsys_HQ912481_Base-NCBI
rsys_DQ514814_Base-NCBI	rsys_DQ514814_Base-NCBI
KJ011818	KJ011818
rsys_KP137423_Base-NCBI	rsys_KP137423_Base-NCBI
rsys_DQ514830_Base-NCBI	rsys_DQ514830_Base-NCBI
rsys_JQ217348_Base-NCBI	rsys_JQ217348_Base-NCBI
rsys_TCC668-Rbcl-1_@speed-ID	rsys_TCC668-Rbcl-1_@speed-ID
HQ912461	HQ912461
659	659
693	693
721	721
23	23
494	494
HQ912457	HQ912457
HQ912486	HQ912486
rsys_HQ828190_Base-NCBI	rsys_HQ828190_Base-NCBI
rsys_TCC698-Rbcl-1_@speed-ID	rsys_TCC698-Rbcl-1_@speed-ID
rsys_TCC860-Rbcl-1_Sequencage_TCC	rsys_TCC860-Rbcl-1_Sequencage_TCC
rsys_TCC861-Rbcl-1_Sequencage_TCC	rsys_TCC861-Rbcl-1_Sequencage_TCC
30	30
35	35
49	49
50	50
52	52
8	8
HQ912397	HQ912397
rsys_FJ002100_Base-NCBI	rsys_FJ002100_Base-NCBI
rsys_HQ912495_Base-NCBI	rsys_HQ912495_Base-NCBI
rsys_JN162778_Base-NCBI	rsys_JN162778_Base-NCBI
rsys_JN162779_Base-NCBI	rsys_JN162779_Base-NCBI
731	731
265	265
400	400
KJ011829	KJ011829
KJ011821	KJ011821
KJ011826	KJ011826
KJ011828	KJ011828
gAM710427	gAM710427
iDTM42_1080	iDTM42_1080
iDTM42_2671	iDTM42_2671
iDTM42_719	iDTM42_719
iDTM44_274	iDTM44_274
iDTM96_900	iDTM96_900
s495	s495
gJQ610175	gJQ610175
rsys_HQ912391_Base-NCBI	rsys_HQ912391_Base-NCBI
rsys_HQ912392_Base-NCBI	rsys_HQ912392_Base-NCBI
HQ912500	HQ912500
101	101
150	150
271	271
592	592
729	729
iDTM47_46	iDTM47_46
gAM710428	gAM710428
rsys_AM710428_Base-NCBI	rsys_AM710428_Base-NCBI
HQ912450	HQ912450
102	102
267	267
471	471
617	617
742	742
794	794
837	837
HQ912463	HQ912463
rsys_KT288121_Base-NCBI	rsys_KT288121_Base-NCBI
rsys_KT288122_Base-NCBI	rsys_KT288122_Base-NCBI
rsys_KT288123_Base-NCBI	rsys_KT288123_Base-NCBI
rsys_KT288124_Base-NCBI	rsys_KT288124_Base-NCBI
rsys_KT288125_Base-NCBI	rsys_KT288125_Base-NCBI
rsys_KT288126_Base-NCBI	rsys_KT288126_Base-NCBI
rsys_KT288127_Base-NCBI	rsys_KT288127_Base-NCBI
rsys_KT288128_Base-NCBI	rsys_KT288128_Base-NCBI
rsys_KT288129_Base-NCBI	rsys_KT288129_Base-NCBI
rsys_KT288130_Base-NCBI	rsys_KT288130_Base-NCBI
rsys_KT288131_Base-NCBI	rsys_KT288131_Base-NCBI
rsys_KT288132_Base-NCBI	rsys_KT288132_Base-NCBI
rsys_KT288133_Base-NCBI	rsys_KT288133_Base-NCBI
rsys_KT288134_Base-NCBI	rsys_KT288134_Base-NCBI
rsys_KT288135_Base-NCBI	rsys_KT288135_Base-NCBI
rsys_KT288136_Base-NCBI	rsys_KT288136_Base-NCBI
rsys_KT288137_Base-NCBI	rsys_KT288137_Base-NCBI
rsys_KT288138_Base-NCBI	rsys_KT288138_Base-NCBI
rsys_KT288139_Base-NCBI	rsys_KT288139_Base-NCBI
rsys_KT288140_Base-NCBI	rsys_KT288140_Base-NCBI
rsys_KT288141_Base-NCBI	rsys_KT288141_Base-NCBI
rsys_KT288142_Base-NCBI	rsys_KT288142_Base-NCBI
rsys_KT288143_Base-NCBI	rsys_KT288143_Base-NCBI
rsys_KT288144_Base-NCBI	rsys_KT288144_Base-NCBI
rsys_KT288145_Base-NCBI	rsys_KT288145_Base-NCBI
rsys_KT288146_Base-NCBI	rsys_KT288146_Base-NCBI
rsys_KT288147_Base-NCBI	rsys_KT288147_Base-NCBI
rsys_KT288148_Base-NCBI	rsys_KT288148_Base-NCBI
rsys_KT288149_Base-NCBI	rsys_KT288149_Base-NCBI
rsys_KT288150_Base-NCBI	rsys_KT288150_Base-NCBI
rsys_KT288151_Base-NCBI	rsys_KT288151_Base-NCBI
rsys_KT288116_Base-NCBI	rsys_KT288116_Base-NCBI
rsys_KT288117_Base-NCBI	rsys_KT288117_Base-NCBI
rsys_KT288118_Base-NCBI	rsys_KT288118_Base-NCBI
rsys_KT288119_Base-NCBI	rsys_KT288119_Base-NCBI
rsys_KT288120_Base-NCBI	rsys_KT288120_Base-NCBI
740	740
rsys_AM710468_Base-NCBI	rsys_AM710468_Base-NCBI
590	590
88	88
92	92
AY571744	AY571744
rsys_AM710429_Base-NCBI	rsys_AM710429_Base-NCBI
rsys_TCC672-Rbcl-1_@speed-ID	rsys_TCC672-Rbcl-1_@speed-ID
KT288152	KT288152
KT288153	KT288153
KT288154	KT288154
KT288155	KT288155
KT288156	KT288156
KT288157	KT288157
KJ011825	KJ011825
rsys_AM710502_Base-NCBI	rsys_AM710502_Base-NCBI
KJ011827	KJ011827
314	314
372	372
445	445
826	826
KJ011822	KJ011822
KJ011824	KJ011824
612	612
71	71
804	804
847	847
rsys_AY571754_Base-NCBI	rsys_AY571754_Base-NCBI
rsys_TCC674-Rbcl-1_@speed-ID	rsys_TCC674-Rbcl-1_@speed-ID
rsys_TCC675-Rbcl-1_@speed-ID	rsys_TCC675-Rbcl-1_@speed-ID
rsys_TCC678-Rbcl-1_@speed-ID	rsys_TCC678-Rbcl-1_@speed-ID
rsys_TCC717-Rbcl-1_@speed-ID	rsys_TCC717-Rbcl-1_@speed-ID
rsys_TCC718-Rbcl-1_@speed-ID	rsys_TCC718-Rbcl-1_@speed-ID
258	258
318	318
377	377
489	489
667	667
684	684
HQ912469	HQ912469
EF143289	EF143289
HQ912460	HQ912460
EF143274	EF143274
HQ912492	HQ912492
gKF959644	gKF959644
rsys_TCC503-Rbcl-1_@speed-ID	rsys_TCC503-Rbcl-1_@speed-ID
rsys_TCC504-Rbcl-1_@speed-ID	rsys_TCC504-Rbcl-1_@speed-ID
rsys_TCC505-Rbcl-1_@speed-ID	rsys_TCC505-Rbcl-1_@speed-ID
rsys_TCC506-Rbcl-1_@speed-ID	rsys_TCC506-Rbcl-1_@speed-ID
rsys_TCC508-Rbcl-1_@speed-ID	rsys_TCC508-Rbcl-1_@speed-ID
rsys_TCC525-Rbcl-1_onema	rsys_TCC525-Rbcl-1_onema
rsys_TCC534-Rbcl-1_@speed-ID	rsys_TCC534-Rbcl-1_@speed-ID
rsys_TCC535-Rbcl-1_@speed-ID	rsys_TCC535-Rbcl-1_@speed-ID
rsys_TCC546-Rbcl-1_onema	rsys_TCC546-Rbcl-1_onema
rsys_TCC548-Rbcl-1_@speed-ID	rsys_TCC548-Rbcl-1_@speed-ID
rsys_TCC552-Rbcl-1_@speed-ID	rsys_TCC552-Rbcl-1_@speed-ID
rsys_TCC554-Rbcl-1_@speed-ID	rsys_TCC554-Rbcl-1_@speed-ID
rsys_TCC556-Rbcl-1_onema	rsys_TCC556-Rbcl-1_onema
rsys_TCC557-Rbcl-1_@speed-ID	rsys_TCC557-Rbcl-1_@speed-ID
rsys_TCC628-Rbcl-1_@speed-ID	rsys_TCC628-Rbcl-1_@speed-ID
rsys_TCC657-Rbcl-1_@speed-ID	rsys_TCC657-Rbcl-1_@speed-ID
rsys_TCC697-Rbcl-1_@speed-ID	rsys_TCC697-Rbcl-1_@speed-ID
rsys_TCC709-Rbcl-1_@speed-ID	rsys_TCC709-Rbcl-1_@speed-ID
rsys_TCC714-Rbcl-1_@speed-ID	rsys_TCC714-Rbcl-1_@speed-ID
rsys_TCC809-Rbcl-1_@speed-ID	rsys_TCC809-Rbcl-1_@speed-ID
rsys_HQ337547_Base-NCBI	rsys_HQ337547_Base-NCBI
rsys_JN162792_Base-NCBI	rsys_JN162792_Base-NCBI
808	808
HQ828194	HQ828194
HQ912451	HQ912451
rsys_TCC541-Rbcl-1_@speed-ID	rsys_TCC541-Rbcl-1_@speed-ID
rsys_TCC547-Rbcl-1_@speed-ID	rsys_TCC547-Rbcl-1_@speed-ID
rsys_TCC553-Rbcl-1_@speed-ID	rsys_TCC553-Rbcl-1_@speed-ID
rsys_TCC558-Rbcl-1_@speed-ID	rsys_TCC558-Rbcl-1_@speed-ID
171	171
41	41
42	42
435	435
46	46
rsys_TCC539-Rbcl-1_@speed-ID	rsys_TCC539-Rbcl-1_@speed-ID
KF959640	KF959640
rsys_AM713181_Base-NCBI	rsys_AM713181_Base-NCBI
rsys_HQ828187_Base-NCBI	rsys_HQ828187_Base-NCBI
rsys_TCC301-Rbcl-1_@speed-ID	rsys_TCC301-Rbcl-1_@speed-ID
rsys_TCC302-Rbcl-1_@speed-ID	rsys_TCC302-Rbcl-1_@speed-ID
rsys_TCC304-Rbcl-1_@speed-ID	rsys_TCC304-Rbcl-1_@speed-ID
rsys_TCC705-Rbcl-1_@speed-ID	rsys_TCC705-Rbcl-1_@speed-ID
513	513
514	514
621	621
AB430676	AB430676
27	27
732	732
rsys_AM710473_Base-NCBI	rsys_AM710473_Base-NCBI
rsys_EU090039_Base-NCBI	rsys_EU090039_Base-NCBI
rsys_EU090041_Base-NCBI	rsys_EU090041_Base-NCBI
rsys_EU090042_Base-NCBI	rsys_EU090042_Base-NCBI
rsys_EU090043_Base-NCBI	rsys_EU090043_Base-NCBI
rsys_EU090044_Base-NCBI	rsys_EU090044_Base-NCBI
rsys_EU090045_Base-NCBI	rsys_EU090045_Base-NCBI
rsys_EU090046_Base-NCBI	rsys_EU090046_Base-NCBI
15	15
32	32
343	343
613	613
662	662
726	726
791	791
rsys_TCC870-Rbcl-1_Sequencage_TCC	rsys_TCC870-Rbcl-1_Sequencage_TCC
rsys_TCC871-Rbcl-1_Sequencage_TCC	rsys_TCC871-Rbcl-1_Sequencage_TCC
191	191
195	195
196	196
199	199
203	203
205	205
243	243
245	245
246	246
247	247
248	248
249	249
48	48
56	56
819	819
823	823
853	853
9	9
HQ912452	HQ912452
12	12
121	121
135	135
139	139
142	142
143	143
148	148
151	151
153	153
158	158
162	162
166	166
167	167
169	169
170	170
173	173
174	174
175	175
177	177
178	178
18	18
185	185
241	241
266	266
28	28
319	319
34	34
378	378
379	379
380	380
381	381
382	382
383	383
385	385
387	387
388	388
404	404
409	409
410	410
412	412
414	414
467	467
47	47
488	488
5	5
511	511
515	515
516	516
517	517
551	551
555	555
591	591
622	622
643	643
734	734
741	741
743	743
746	746
842	842
844	844
845	845
85	85
852	852
854	854
855	855
856	856
907	907
rsys_JN162781_Base-NCBI	rsys_JN162781_Base-NCBI
rsys_TCC669-Rbcl-1_@speed-ID	rsys_TCC669-Rbcl-1_@speed-ID
575	575
625	625
rsys_TCC662-Rbcl-1_@speed-ID	rsys_TCC662-Rbcl-1_@speed-ID
rsys_TCC681-Rbcl-1_@speed-ID	rsys_TCC681-Rbcl-1_@speed-ID
256	256
272	272
rsys_HF562235_Base-NCBI	rsys_HF562235_Base-NCBI
rsys_HF562236_Base-NCBI	rsys_HF562236_Base-NCBI
rsys_HF562237_Base-NCBI	rsys_HF562237_Base-NCBI
rsys_HF562238_Base-NCBI	rsys_HF562238_Base-NCBI
rsys_HF562239_Base-NCBI	rsys_HF562239_Base-NCBI
rsys_HF562240_Base-NCBI	rsys_HF562240_Base-NCBI
rsys_HF562241_Base-NCBI	rsys_HF562241_Base-NCBI
rsys_HF562244_Base-NCBI	rsys_HF562244_Base-NCBI
rsys_HF562245_Base-NCBI	rsys_HF562245_Base-NCBI
rsys_HF562249_Base-NCBI	rsys_HF562249_Base-NCBI
rsys_HF562248_Base-NCBI	rsys_HF562248_Base-NCBI
rsys_HF562246_Base-NCBI	rsys_HF562246_Base-NCBI
rsys_HF562252_Base-NCBI	rsys_HF562252_Base-NCBI
rsys_HF562247_Base-NCBI	rsys_HF562247_Base-NCBI
