Sample_ID	Customer_ID
2375	101560585
2376	101491878
2377	101210740
2378	101527492
2379	101527498
2380	101353854
2381	100775215
2382	100775209
2383	101712081
2384	101455958
2385	101522615
2388	101563279
2390	101652452
2391	101371173
2393	101527488
2394	100784437
2395	101371109
2396	101371170
2397	101302531
2398	101302529
2399	101306101
2402	101569781
2404	101569779
2419	101608150
2421	101608152
2423	101265973
2425	101265966
2426	101265965
2427	101608158
2428	101522620
2430	101265969
2431	101365164
2433	101306198
2434	101608160
2435	101608162
2437	101362176
2438	101283570
2439	101265963
2440	101608156
2441	101362174
2452	101456012
2453	101456015
2454	101652598
2455	101353893
2456	101353896
2457	101456019
2458	101482959
2459	101482960
2460	101481308
2462	101528504
2463	100775144
2464	101280461
2466	101481310
2467	100999933
2468	101362128
2469	101528506
2470	101528507
2471	101291658
2472	101554128
2473	101608275
2474	101365277
2475	101365266
2477	101365280
2478	101608272
2479	100757112
2480	101535179
2481	101535182
2483	101516373
2484	101535170
2485	101265933
2486	101553992
2488	101408861
2490	101606955
2491	101606959
2492	101318082
2493	101516371
2494	101265935
2496	101265931
2497	100775143
2498	101553968
2499	101606915
2500	101606910
2501	101606907
2502	101535142
2504	101280425
2505	101516305
2506	101406579
2507	101313982
2508	101475822
2510	101475817
2511	101475815
2512	101475820
2514	101316945
2515	101229034
2516	101229026
2517	101229032
2518	101229031
2519	101352965
2520	101229037
2521	101229024
2523	100985422
2524	100838049
2526	101313962
2527	101491736
2528	101408786
2529	101296194
2530	100775107
2531	101247587
2532	101247590
2533	100985311
2535	101296103
2536	101553696
2537	100784303
2538	101553708
2540	101267547
2541	101267543
2542	100775104
2545	100842550
2546	101560306
2547	101553758
2548	101450068
2549	101450063
2550	101306066
2551	101306067
2553	100842580
2554	101457579
2555	101265958
2556	100775197
2557	100775196
2558	101513005
2559	101265956
2560	101265961
2561	101265955
2562	101265950
2564	101455777
2565	100966261
2566	101711213
2567	100966263
2568	100966259
2569	100966266
2570	101515554
2572	100775229
2573	101515552
2574	101515556
2575	101703553
2576	101491720
2578	100985434
2579	101406576
2580	101267552
2581	100775114
2582	101267557
2583	100870395
2584	101516307
2585	101296291
2586	101535145
2587	101403272
2588	101267554
2589	100775108
2591	101491743
2592	101280430
2593	101419169
2594	100756586
2595	100838040
2597	101553613
2598	101406539
2599	101210614
2600	101560364
2601	101491691
2603	101302372
2604	101395572
2605	101611384
2606	101353880
2608	101611383
2609	101563446
2610	101014054
2612	101087816
2613	101362197
2614	101365206
2615	101493189
2616	100966234
2617	100966235
2618	101491955
2619	101316986
2620	101316984
2622	100966229
2623	100966231
2624	101636461
2625	101408869
2626	101527459
2627	101145026
2628	100775150
2629	101527457
2630	101528462
2631	100775160
2632	101554021
2633	101554009
2634	100775148
2636	101554002
2638	100775157
2639	101455719
2640	101228955
2641	101406644
2642	101553995
2644	101406647
2645	101406639
2646	100775153
2647	100775155
2649	101562271
2651	101456021
2653	100775266
2655	100775268
2656	101316920
2658	101316922
2659	101527480
2661	101318098
2662	101357458
2664	101318100
2665	101210717
2666	101145065
2667	101520828
2668	BSO 178265
2669	101316918
2670	BSO 178266
2671	BSO 178267
2673	101562313
2674	101155468
2675	101354123
2676	101493528
2677	101611520
2678	101611518
2679	101493529
2680	101611529
2682	101611522
2683	101611524
2684	101283516
2686	101517116
2687	101156486
2688	101429027
2689	101517123
2690	101517125
2691	20560456
2692	101517127
2693	101517131
2694	101517118
2695	100784531
2697	101403755
2698	Tanat 50766
2699	101502204
2700	101307828
2701	101152630
2702	101767879
2703	101733266
2706	101608319
2707	101728511
2708	101508102
2710	101155354
2712	101265989
2714	100838693
2715	101155351
2716	101152642
2717	101265991
2718	101508105
2719	101663523
2721	101753058
2722	101663503
2723	101753061
2724	101733322
2725	101753066
2726	101753070
2727	101354050
2728	101318247
2729	101318249
2730	100373251
2731	101155363
2732	101611453
2733	101611446
2734	74036
2735	100373255
2736	101728469
2740	101155371
2741	101155362
2742	101155366
2743	101481781
2744	101265982
2745	101799933
2746	101652676
2747	101703648
2748	101652724
2749	101265979
2750	101481779
2751	101265987
2752	101493212
2753	101493216
2754	101608197
2755	101723685
2756	101608195
2757	101608200
2758	101581383
2760	101581381
2761	101784751
2762	101608191
2763	101581385
2764	101365231
2766	101608396
2767	101547855
2768	101608394
2769	101547857
2771	101608402
2772	101608389
2773	101608405
2774	101608399
2776	205602391
2777	101306304
2779	101306295
2780	101265997
2781	101611468
2782	101493360
2783	101493363
2784	101611469
2785	101611474
2786	101799946
2787	100836676
2788	101522702
2789	101611471
2790	101353981
2791	101376778
2792	101376783
2794	101365295
2796	101353983
2797	101376781
2799	101376796
2800	101376795
2801	101800031
2802	101800033
2803	101376789
2804	101493224
2805	101703605
2806	101608228
2807	101608223
2808	101365245
2809	101365249
2810	101563581
2812	100373253
2813	101729818
2814	101608230
2815	101493426
2816	101283681
2817	101515826
2818	101652802
2819	101280967
2820	101608359
2822	100757147
2823	101611476
2824	101318264
2825	100757151
2826	101652795
2827	101652805
2828	101522698
2829	101155336
2831	100373247
2832	100373245
2833	101318259
2834	101663514
2835	101663510
2836	101502211
2837	101520822
2838	101663508
2839	101156580
2840	101547752
2841	101391064
2842	101354082
2843	101608384
2844	101318267
2846	101318268
2847	101608378
2848	101608382
2852	101265978
2853	101265974
2854	101353945
2855	101608264
2856	101611509
2857	101318277
2858	101376813
2859	101611507
2860	101282767
2861	101570810
2862	101570818
2864	101611512
2865	101318280
2866	101607102
2868	101607097
2869	101314073
2870	100775118
2871	101403344
2872	100775119
2873	100775128
2874	100775123
2875	100775130
2876	101406601
2877	100985463
2878	BSO159264
2880	100775125
2881	101296234
2882	101560576
2883	101306089
2884	101406666
2885	101406662
2886	101406663
2887	101306092
2888	101306093
2889	101296247
2890	101306098
2891	101316914
2892	101316912
2893	101316910
2894	101265944
2895	101535214
2896	101455741
2897	101410409
2898	101357454
2900	101462295
2901	101357451
2903	101357448
2904	101606968
2905	101410406
2906	101375992
2907	101265938
2908	101247624
2909	101265945
2910	101265941
2911	101547054
2913	101247621
2914	101560595
2915	101352876
2916	101316939
2917	101560592
2918	101316935
2919	100782777
2920	101446895
2921	101491895
2922	101491888
2923	101316937
2924	101316941
2925	101316943
2926	101496626
2927	101491975
2928	101291691
2930	101554129
2931	101291689
2932	101496660
2933	101496665
2934	101496668
2935	101636444
2936	101496655
2937	101496670
2938	101168570
2939	101316968
2940	101496621
2941	101496658
2942	101500986
2943	101500885
2945	101491906
2946	101321087
2947	101306260
2948	20560338
2949	101712089
2950	101728440
2951	20559405
2952	101712091
2953	101728449
2954	101280851
2955	20559435
2956	101703574
2957	101611370
2958	101611368
2959	101280855
2960	20559353
2961	100775263
2963	101522627
2964	101517157
2965	101652533
2966	101712111
2967	100775256
2968	101652528
2969	100775219
2970	100775222
2971	101156506
2972	100775227
2973	101365185
2974	101280849
2975	101517160
2976	101516322
2978	101145004
2980	100775225
2981	101462197
2982	101516329
2983	100999842
2984	100999848
2985	100985440
